id,timestamp,location,violation_type,severity,status
VIO-1019,2026-06-17 23:41:58,D区-塔吊下方,安全帽未系紧,高,处理中
VIO-1018,2026-06-16 21:44:58,C区-材料堆放区,安全帽未系紧,高,已处理
VIO-1007,2026-06-15 13:18:58,E区-电梯井口,安全帽未系紧,高,处理中
VIO-1013,2026-06-12 10:57:58,G区-焊接区,使用非标准安全帽,低,已处理
VIO-1011,2026-06-11 05:17:58,B区-脚手架,使用非标准安全帽,低,待处理
VIO-1002,2026-06-09 20:33:58,G区-焊接区,安全帽未系紧,低,处理中
VIO-1016,2026-06-09 08:38:58,E区-电梯井口,使用非标准安全帽,低,处理中
VIO-1000,2026-06-09 03:45:58,D区-塔吊下方,未佩戴安全帽,低,处理中
VIO-1017,2026-06-08 03:25:58,D区-塔吊下方,使用非标准安全帽,低,已处理
VIO-1005,2026-06-07 22:36:58,F区-配电房,安全帽未系紧,低,待处理
VIO-1015,2026-06-07 19:56:58,F区-配电房,使用非标准安全帽,高,已处理
VIO-1010,2026-06-05 20:14:58,A区-基坑旁,使用非标准安全帽,高,待处理
VIO-1008,2026-06-02 23:27:58,B区-脚手架,使用非标准安全帽,高,已处理
VIO-1006,2026-05-31 14:22:58,G区-焊接区,使用非标准安全帽,中,已处理
VIO-1012,2026-05-29 08:42:58,B区-脚手架,未佩戴安全帽,高,处理中
VIO-1003,2026-05-26 12:22:58,D区-塔吊下方,安全帽未系紧,中,处理中
VIO-1004,2026-05-25 17:31:58,F区-配电房,安全帽未系紧,低,已处理
VIO-1009,2026-05-24 12:38:58,A区-基坑旁,未佩戴安全帽,中,处理中
VIO-1001,2026-05-23 18:25:58,C区-材料堆放区,安全帽未系紧,中,待处理
VIO-1014,2026-05-23 17:44:58,D区-塔吊下方,安全帽未系紧,高,待处理
